Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
50,7,0.5110,10.73,29.80,0.1968,0.449163,"YGL173C YDR153C YGL213C YKL023W YLR398C YPR189W YGR054W"
51,6,0.4053,6.080,22.96,0.1481,0.810761,"YDR385W YMR315W YOR133W YHL014C YIR007W YJL062W-A"
52,23,0.4287,108.5,16.97,0.6327,3.10327e-09,"YBR081C YBR198C YLR055C YMR223W YOL148C YDR145W YDR167W YGL112C YGR274C YML015C YMR005W YMR227C YMR236W YPL011C YPL254W YCL010C YDR176W YDR448W YGL066W YGR252W YPL047W YDR392W YML098W"
53,4,0.4817,2.890,6.100,0.1701,0.668441,"YNL132W YDR299W YER127W YGR145W"
54,4,0.4333,2.600,14.47,0.1037,0.557383,"YJR009C YMR048W YNL273W YOR299W"
55,6,0.4287,6.430,20.63,0.1646,0.287587,"YLR223C YCL031C YGR090W YGR251W YKL078W YNL186W"
56,4,0.4833,2.900,2.340,0.2190,0.0720253,"YDL100C YBR069C YER083C YGL020C"
57,4,0.4817,2.890,13.14,0.1203,0.150261,"YER133W YMR311C YNL233W YPL137C"
58,14,0.6613,60.18,27.27,0.5213,1.40996e-05,"YGR095C YCR035C YDL111C YDR280W YGR195W YHR069C YNL232W YNR024W YOL021C YOR001W YOR076C YGR158C YHR081W YOL142W"
59,4,0.4283,2.570,8.820,0.1325,0.843839,"YBR011C YLR371W YPL066W YLR425W"
60,15,0.8687,91.21,33.71,0.5888,2.06124e-06,"YCR020W-B YCR052W YFR037C YGR275W YIL126W YKR008W YLR033W YLR321C YLR357W YML127W YMR033W YMR091C YPR034W YDR303C YGR056W"
